,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,btag,team_name,SR,Comp_main,QP_main,rank
0,0,0,0,AceOfSpades#11850,Penn State Harmony,2357.0,hanzo,hanzo,gold
1,1,1,1,SolarFlamez#1839,Penn State Harmony,2673.0,,,plat
2,2,2,2,FosterWalrus#1344,Penn State Harmony,,,winston,
3,3,3,3,ALLinTheGAME#11816,Penn State Harmony,2500.0,,,gold
4,4,4,4,DeadKnight#11476,Penn State Harmony,2380.0,dva,dva,gold
5,5,5,5,漂白白#4808,Penn State Harmony,,,,
6,6,6,6,Thor#12751,Penn State Harmony,3074.0,zarya,,diamond
7,7,7,7,Enchilada#11845,Penn State Harmony,,,,
8,8,8,8,PSUKicus#1510,Penn State Harmony,3337.0,zarya,pharah,diamond
9,9,9,9,McRaeMan#1505,UNF Varsity Blue,2828.0,zarya,zarya,plat
10,10,10,10,Klühr#1532,UNF Varsity Blue,2797.0,,,plat
11,11,11,11,Deko#11352,UNF Varsity Blue,3556.0,brigitte,winston,masters
12,12,12,12,ƁŖǾĈĈǾĿǏ#1950,UNF Varsity Blue,3210.0,reinhardt,widowmaker,diamond
13,13,13,13,Reflex#11883,UNF Varsity Blue,3687.0,dva,genji,masters
14,14,14,14,WhatsCards#1449,UNF Varsity Blue,2929.0,mccree,hanzo,plat
15,15,15,15,creativename#11927,UNF Varsity Blue,2641.0,mercy,mercy,plat
16,16,16,16,BeatDatBooty#1223,UNF Varsity Blue,2989.0,zarya,genji,plat
17,17,17,17,DregonLady#1692,UNF Varsity Blue,,,moira,
18,18,18,18,SlapHappy#11695,UniversityofWyoming,3110.0,sombra,genji,diamond
19,19,19,19,Gravel#11659,UniversityofWyoming,,,,
20,20,20,20,Blackwayv#1447,UniversityofWyoming,3100.0,,,diamond
21,21,21,21,Oleyy#1712,UniversityofWyoming,2816.0,ana,tracer,plat
22,22,22,22,Ar13mis#1144,UniversityofWyoming,1702.0,lucio,widowmaker,silver
23,23,23,23,Trenton124#1362,UniversityofWyoming,2814.0,reinhardt,ana,plat
24,24,24,24,DEATHCAMIS#1748,UniversityofWyoming,,,,
25,25,25,25,TheDangus#1983,UniversityofWyoming,2260.0,,,gold
26,26,26,26,ChiefǶKeef#1753,SLU_BATS,4014.0,,,gm
27,27,27,27,Bobshickabob#11857,SLU_BATS,,zarya,tracer,
28,28,28,28,AlphaOmega#11257,SLU_BATS,,brigitte,mercy,
29,29,29,29,StælthyPanda#1485,SLU_BATS,3649.0,ana,tracer,masters
30,30,30,30,GreenLED#1123,SLU_BATS,2832.0,,,plat
31,31,31,31,KingTaquan#1704,SLU_BATS,2980.0,,,plat
32,32,32,32,gimzo#1606,SLU_BATS,3502.0,mercy,roadhog,masters
33,33,33,33,Ricashea3#1110,Bulldogs,2241.0,reinhardt,reinhardt,gold
34,34,34,34,UMLAUT#11819,Bulldogs,2466.0,,,gold
35,35,35,35,Xan#12287,Bulldogs,,,,
36,36,36,36,Wunder#11127,Bulldogs,3090.0,,,diamond
37,37,37,37,Wölf#11488,Bulldogs,3150.0,,,diamond
38,38,38,38,Telos#11842,Bulldogs,3563.0,zenyatta,zenyatta,masters
39,39,39,39,Milk#12996,Bulldogs,3035.0,,,diamond
40,40,40,40,Adam#14374,Bulldogs,3091.0,,,diamond
41,41,41,41,Bry#11555,Bulldogs,3000.0,tracer,tracer,plat
42,42,42,42,lax#12801,Dukes-Gold,2515.0,,,plat
43,43,43,43,Kit10#11644,Dukes-Gold,,,,
44,44,44,44,UnluckyCharm#11495,Dukes-Gold,2150.0,zarya,mccree,gold
45,45,45,45,Higglejiggle#1818,Dukes-Gold,2408.0,,,gold
46,46,46,46,Wryxiati#1218,Dukes-Gold,2154.0,,,gold
47,47,47,47,Strudel#11629,Dukes-Gold,2730.0,ana,genji,plat
48,48,48,48,BlackDiamond#22640,Dukes-Gold,2829.0,,,plat
49,49,49,49,Azea#11326,Buffs,3573.0,hanzo,reaper,masters
50,50,50,50,Dusty#1651,Buffs,4023.0,,,gm
51,51,51,51,Shimadamada#1668,Buffs,3785.0,dva,genji,masters
52,52,52,52,Dman#12112,Buffs,4335.0,ana,genji,semipro
53,53,53,53,Doink#11946,Buffs,3604.0,ana,zenyatta,masters
54,54,54,54,Demuny#1273,Buffs,3303.0,mccree,genji,diamond
55,55,55,55,SeñorSwiper#1343,Buffs,3384.0,,,diamond
56,56,56,56,blaino50#1483,Buffs,3671.0,reinhardt,tracer,masters
57,57,57,57,NightHatter#11948,Mason ¯\_(ツ)_/¯,1573.0,ana,junkrat,silver
58,58,58,58,turtle#12855,Mason ¯\_(ツ)_/¯,2642.0,,,plat
59,59,59,59,MooneRyder#1135,Mason ¯\_(ツ)_/¯,,reaper,dva,
60,60,60,60,keywizzle#1391,Mason ¯\_(ツ)_/¯,1181.0,,,bronze
61,61,61,61,NaiveSoul#1229,Mason ¯\_(ツ)_/¯,1680.0,dva,junkrat,silver
62,62,62,62,Spudnugget#1223,Mason ¯\_(ツ)_/¯,2102.0,,,gold
63,63,63,63,JSteeZy#11147,Mason ¯\_(ツ)_/¯,,,,
64,64,64,64,Ryobi#11952,Mason ¯\_(ツ)_/¯,2606.0,,,plat
65,65,65,65,Sc0pz#1111,Mason ¯\_(ツ)_/¯,,,,
66,66,66,66,Taako#11288,Fanshawe Falcons,3166.0,,,diamond
67,67,67,67,Joester09#1804,Fanshawe Falcons,,,,
68,68,68,68,electrochoc#11670,Fanshawe Falcons,2067.0,,,gold
69,69,69,69,AnnaVoig#11165,Fanshawe Falcons,,,,
70,70,70,70,Trev#11944,Fanshawe Falcons,3681.0,hanzo,widowmaker,masters
71,71,71,71,Dolan#1943,Fanshawe Falcons,2017.0,,,gold
72,72,72,72,Blastub#1489,Fanshawe Falcons,1768.0,zenyatta,zenyatta,silver
73,73,73,73,greentext#1245,Norwood Hit Squad,3000.0,,,plat
74,74,74,74,Hinata#1439,Norwood Hit Squad,,,,
75,75,75,75,Anchor#11862,Norwood Hit Squad,3790.0,brigitte,genji,masters
76,76,76,76,Oblivion#13722,Norwood Hit Squad,2128.0,junkrat,winston,gold
77,77,77,77,Swiftfeet#11133,Norwood Hit Squad,,,,
78,78,78,78,Dayus#11246,Norwood Hit Squad,,reinhardt,reinhardt,
79,79,79,79,Cheese#12947,Norwood Hit Squad,2124.0,,,gold
80,80,80,80,Randmcitizen#11117,Norwood Hit Squad,,,,
81,81,81,81,Kyu#11866,Norwood Hit Squad,2326.0,,,gold
82,82,82,82,GreenSahib#1337,Dalhousie Tigers,2883.0,reinhardt,reaper,plat
83,83,83,83,Ȅcho#1463,Dalhousie Tigers,3450.0,genji,genji,diamond
84,84,84,84,Dreamfyre#11478,Dalhousie Tigers,3501.0,zarya,genji,masters
85,85,85,85,MediumPig#2126,Dalhousie Tigers,3637.0,ana,ana,masters
86,86,86,86,Antios#11267,Dalhousie Tigers,,zenyatta,roadhog,
87,87,87,87,CBINcameron#1198,Dalhousie Tigers,2761.0,ana,ana,plat
88,88,88,88,Riamu#1131,Dalhousie Tigers,,,widowmaker,
89,89,89,89,AgCN#11665,Big-B,2550.0,,,plat
90,90,90,90,Dryden001#1456,Big-B,,,,
91,91,91,91,FNEZ#11279,Big-B,2338.0,,widowmaker,gold
92,92,92,92,Zreepio#1375,Big-B,2402.0,zenyatta,winston,gold
93,93,93,93,swiper#11137,Big-B,2116.0,,,gold
94,94,94,94,ZooterZoo#1362,Big-B,,,brigitte,
95,95,95,95,Yummers#1220,Big-B,,,,
96,96,96,96,RYGUY722#1951,Marist White Foxes,2767.0,moira,dva,plat
97,97,97,97,DRMagnify#1683,Marist White Foxes,1887.0,,,silver
98,98,98,98,stormageddon#1627,Marist White Foxes,1864.0,,,silver
99,99,99,99,Taes#11274,Marist White Foxes,2568.0,reinhardt,reinhardt,plat
100,100,100,100,Abso#11358,Marist White Foxes,1962.0,dva,dva,silver
101,101,101,101,SuperNinja#163440,Marist White Foxes,1729.0,mei,widowmaker,silver
102,102,102,102,NXA#11652,Augustana Overwatch,2520.0,mercy,mercy,plat
103,103,103,103,Tropic#11378,Augustana Overwatch,,,,
104,104,104,104,Dad#13944,Augustana Overwatch,2832.0,,,plat
105,105,105,105,Au10#1846,Augustana Overwatch,2891.0,zenyatta,sombra,plat
106,106,106,106,Leyden#1315,Augustana Overwatch,,,,
107,107,107,107,banANAmilk#21214,Augustana Overwatch,2571.0,ana,ana,plat
108,108,108,108,Nebula#1418,Augustana Overwatch,,,,
