team_name,team_link_url,btag
Penn State Harmony,https://compete.tespa.org/tournament/111/team/23599,"AceOfSpades#11850,SolarFlamez#1839,FosterWalrus#1344,ALLinTheGAME#11816,DeadKnight#11476,漂白白#4808,Thor#12751,Enchilada#11845,PSUKicus#1510"
UNF Varsity Blue,https://compete.tespa.org/tournament/111/team/23664,"McRaeMan#1505,Klühr#1532,Deko#11352,ƁŖǾĈĈǾĿǏ#1950,Reflex#11883,WhatsCards#1449,creativename#11927,BeatDatBooty#1223,DregonLady#1692"
UniversityofWyoming,https://compete.tespa.org/tournament/111/team/23942,"SlapHappy#11695,Gravel#11659,Blackwayv#1447,Oleyy#1712,Ar13mis#1144,Trenton124#1362,DEATHCAMIS#1748,TheDangus#1983"
SLU_BATS,https://compete.tespa.org/tournament/111/team/23661,"ChiefǶKeef#1753,Bobshickabob#11857,AlphaOmega#11257,StælthyPanda#1485,GreenLED#1123,KingTaquan#1704,gimzo#1606"
Bulldogs,https://compete.tespa.org/tournament/111/team/22830,"Ricashea3#1110,UMLAUT#11819,Xan#12287,Wunder#11127,Wölf#11488,Telos#11842,Milk#12996,Adam#14374,Bry#11555"
Dukes-Gold,https://compete.tespa.org/tournament/111/team/23699,"lax#12801,Kit10#11644,UnluckyCharm#11495,Higglejiggle#1818,Wryxiati#1218,Strudel#11629,BlackDiamond#22640"
Skyline,https://compete.tespa.org/tournament/111/team/23096,"One#1885,HiyangNinja#1433,invertigo#1906,smax253#1605,Intriguing#1902"
Buffs,https://compete.tespa.org/tournament/111/team/21799,"Azea#11326,Dusty#1651,Shimadamada#1668,Dman#12112,Doink#11946,Demuny#1273,SeñorSwiper#1343,blaino50#1483"
Mason ¯\_(ツ)_/¯,https://compete.tespa.org/tournament/111/team/24046,"NightHatter#11948,turtle#12855,MooneRyder#1135,keywizzle#1391,NaiveSoul#1229,Spudnugget#1223,JSteeZy#11147,Ryobi#11952,Sc0pz#1111"
JSU Esports,https://compete.tespa.org/tournament/111/team/21775,"Pure#12697,Shirase#11396"
Crimson,https://compete.tespa.org/tournament/111/team/21802,"Varotyk#1909,Markles#11332,bigfootalex#11545,hoppin#11390"
Fanshawe Falcons,https://compete.tespa.org/tournament/111/team/23623,"Taako#11288,Joester09#1804,electrochoc#11670,AnnaVoig#11165,Trev#11944,Dolan#1943,Blastub#1489"
Norwood Hit Squad,https://compete.tespa.org/tournament/111/team/24673,"greentext#1245,Hinata#1439,Anchor#11862,Oblivion#13722,Swiftfeet#11133,Dayus#11246,Cheese#12947,Randmcitizen#11117,Kyu#11866"
Guelph Gryphons,https://compete.tespa.org/tournament/111/team/22655,HafuJr#1903
UNM Esports,https://compete.tespa.org/tournament/111/team/24980,MemeMessiah#11863
Saints Gaming,https://compete.tespa.org/tournament/111/team/21675,SUSHi#12621
Dalhousie Tigers,https://compete.tespa.org/tournament/111/team/25536,"GreenSahib#1337,Ȅcho#1463,Dreamfyre#11478,MediumPig#2126,Antios#11267,CBINcameron#1198,Riamu#1131"
Sting,https://compete.tespa.org/tournament/111/team/21952,GandalfGrey#1772
Big-B,https://compete.tespa.org/tournament/111/team/24767,"AgCN#11665,Dryden001#1456,FNEZ#11279,Zreepio#1375,swiper#11137,ZooterZoo#1362,Yummers#1220"
Arizona Sun Devils,https://compete.tespa.org/tournament/111/team/21695,SUN#22222
Corsairs,https://compete.tespa.org/tournament/111/team/25020,Selinaxkyle#1326
RankDoesntMatter,https://compete.tespa.org/tournament/111/team/21948,FTCFelix#1936
Paintrain,https://compete.tespa.org/tournament/111/team/21690,"MissMurder#11115,mylies43#1485"
Marist White Foxes,https://compete.tespa.org/tournament/111/team/25017,"RYGUY722#1951,DRMagnify#1683,stormageddon#1627,Taes#11274,Abso#11358,SuperNinja#163440"
Xplicit,https://compete.tespa.org/tournament/111/team/21689,Dot#11244
Hoosiers,https://compete.tespa.org/tournament/111/team/21688,"DPM#11111,Katakuri#11939"
Augustana Overwatch,https://compete.tespa.org/tournament/111/team/25014,"NXA#11652,Tropic#11378,Dad#13944,Au10#1846,Leyden#1315,banANAmilk#21214,Nebula#1418,Penguin#12520"
Guelph Gryphons,https://compete.tespa.org/tournament/111/team/25525,nyokoeki#1166
Lakeshore Blue,https://compete.tespa.org/tournament/111/team/25524,"Canman#11488,Gallaxee#1788,Syprious#1433,Inkz#11500,Bloom#12411,Kinkoh#1213,Lucky#15959"
Flex Tape,https://compete.tespa.org/tournament/111/team/22708,"CryptoMarrow#1918,Bryce#12725"
Maverick,https://compete.tespa.org/tournament/111/team/21683,Flyingangel#1652
Empty Set Gaming,https://compete.tespa.org/tournament/111/team/25522,ArmsandLeggz#1744
Texas State Esports,https://compete.tespa.org/tournament/111/team/21938,"Tirate#11484,Purelmiller#1695,Kuda#11371,Acala#11703,MrLastChance#1912,Anax#11298,VagabondTech#11965"
NanoStangz,https://compete.tespa.org/tournament/111/team/25265,"MCSneakyTrtl#1128,MCLexunex#1250,MCBLOODR3IGN#1404,skyrider1213#1517,Moth#11683,MCReliant#1124,KiddOmen#1952"
Grizzlies,https://compete.tespa.org/tournament/111/team/22704,"CrazySerbian#11537,Baboos#2702"
La Verne Esports,https://compete.tespa.org/tournament/111/team/21680,"DapperDeer#11669,Recyclops#11606,Jammers#1579,Menteran#3482,BuniOG#1423,Heliolater#11686,LukeNuk3m2D#1460"
Zeppelins,https://compete.tespa.org/tournament/111/team/21678,"PbZeppelin42#1464,iiNBoX#1312"
UBCO Astros,https://compete.tespa.org/tournament/111/team/25005,"NeoPaulitan#1481,JagerFox#1868,Daddy#12310,Zecr#1218"
;),https://compete.tespa.org/tournament/111/team/23981,Aerophobic#2454
SNHU Esports,https://compete.tespa.org/tournament/111/team/24748,"Nithilis#1199,OCleprechaun#1368,Venxm#1205,Merrymelon#1979,Fragnar#11982,Weasy#11558,MagicTurtle#1117401,Commando#11203"
DPU Meiday,https://compete.tespa.org/tournament/111/team/25770,"YoshiEscape#1194,DeathByGrena#1967,PugsofWrath#1471"
LVC Academy,https://compete.tespa.org/tournament/111/team/22954,"NuNightmore#11551,Zesty#12454,GrayMadderz#1755,IndieanaJone#1138,Enigma#13521,Tereto#11712"
Royal Bears,https://compete.tespa.org/tournament/111/team/21673,Smoothie#11871
UChicago OW,https://compete.tespa.org/tournament/111/team/24744,"mire#11326,thisisdisney#1890"
Terrapins,https://compete.tespa.org/tournament/111/team/21669,"bbbbbbbbbbbb#11285,killerwill#1942,AsianLegeM8#2347"
Carleton Ravens Red,https://compete.tespa.org/tournament/111/team/24996,Pillz#11316
MUES Club Team,https://compete.tespa.org/tournament/111/team/24995,Soleil#11661
Pitt B Team,https://compete.tespa.org/tournament/111/team/25250,"beef69#11372,Noodleslayer#11437,Semmick#1696,thalasns#1723,vis#11653,Solaire#12587,Porzingis#11366"
Concordia Tornadoes,https://compete.tespa.org/tournament/111/team/21922,WeHaveATRex#11801
boosted animals,https://compete.tespa.org/tournament/111/team/21921,"Libri#1651,isi#11877,baychi#1811,ORIG1N#11755"
Doom Cats,https://compete.tespa.org/tournament/111/team/24735,"Wiglaf#11172,Khpenguin#1604,Skyler#1520,Finman12#1188,Lycanoid#1715,Leftforlol#1450"
Stephens Stars,https://compete.tespa.org/tournament/111/team/24990,"Athyris#1524,Lilo#12709,Ormr#11568,kdramallama#1570,chip#12149,jinx2715#1955"
