rank,team_name,rating,timestamp
1, [ASU] SafespaceSupervisors,1400,2018-10-03 12:52:48.201122
1, [UofU] Utes Red,1400,2018-10-03 12:52:48.201322
3, [NJIT] Highnoonlanders,1398,2018-10-03 12:52:48.201487
4, [FSU] FSU Crab Legs,1386,2018-10-03 12:52:48.201656
4, [RIT] RIT Esports,1386,2018-10-03 12:52:48.201818
4, [RU] RU Rams,1386,2018-10-03 12:52:48.201980
4, [UIUC] Illini Esports,1386,2018-10-03 12:52:48.202140
4, [GT] Squagnar,1386,2018-10-03 12:52:48.202300
4, [UCI] UCI Esports,1386,2018-10-03 12:52:48.202460
4, [GCU] GCU Esports,1386,2018-10-03 12:52:48.202621
4, [UBC] UBC Premier Team,1386,2018-10-03 12:52:48.202797
4, [ISU] Raw Backpack,1386,2018-10-03 12:52:48.202960
13, [OCC] Orange Coast College,1372,2018-10-03 12:52:48.203109
13, [SC] Sheridan Esports,1372,2018-10-03 12:52:48.203257
13, [JMU] The Dukes,1372,2018-10-03 12:52:48.203418
13, [HUST] HU Storm,1372,2018-10-03 12:52:48.203567
17, [NCSU] NCSU JV,1363,2018-10-03 12:52:48.203715
18, [UCF] UCF Gaming Knights,1314,2018-10-03 12:52:48.203874
18, [UCLA] UCLA OW JV,1314,2018-10-03 12:52:48.204062
20, [UA] Akron Zips Gold,1310,2018-10-03 12:52:48.204444
21, [TU] Trine Thunder,1305,2018-10-03 12:52:48.204653
22, [KSU] KSU Varsity eSports,1300,2018-10-03 12:52:48.204860
22, [CU] Chapman University,1300,2018-10-03 12:52:48.205043
22, [UA] Arizona Esports Red,1300,2018-10-03 12:52:48.205200
22, [UCONN] Galactic Huskies,1300,2018-10-03 12:52:48.205357
22, [CU] Clemson Esports A,1300,2018-10-03 12:52:48.205516
22, [LC] Lambton Lions,1300,2018-10-03 12:52:48.205674
22, [UT] Longhorn Gaming,1300,2018-10-03 12:52:48.205829
22, [GMU] George Money,1300,2018-10-03 12:52:48.205985
22, [GCU] Grand Canyon JV,1300,2018-10-03 12:52:48.206140
31, [CU] Carleton Ravens,1298,2018-10-03 12:52:48.206297
32, [MSU] MSU Spartans,1292,2018-10-03 12:52:48.206467
33, [UofU] Utes White,1288,2018-10-03 12:52:48.206625
34, [UCONN] :-),1286,2018-10-03 12:52:48.206792
34, [UCSD] Defenders of Geisel,1286,2018-10-03 12:52:48.206960
34, [UMBC] Overbark,1286,2018-10-03 12:52:48.207118
34, [UCCS] Colorado Frost,1286,2018-10-03 12:52:48.207275
34, [UCD] Aggie Gaming Gold,1286,2018-10-03 12:52:48.207432
34, [GT] Something Else,1286,2018-10-03 12:52:48.207587
34, [Ole Miss] Ole Miss Esports,1286,2018-10-03 12:52:48.207744
34, [SIT] Altorfer's Avengers,1286,2018-10-03 12:52:48.207898
